Model,Scenario,n_movies,Precision,Recall,F1,MAP,Version
Cosine Similarity,Generic,1,0.2212,0.016922291183726203,0.024899305472629564,0.31103194444444443,With Revenue and Budget
Euclidean Distance,Generic,1,0.21520000000000003,0.016672096152223512,0.023839247146870753,0.3011430555555556,With Revenue and Budget
Manhattan Distance,Generic,1,0.254,0.02287394420275702,0.03217723110586267,0.3415972222222222,With Revenue and Budget
Cosine Similarity,Generic,5,0.1754,0.0028544581545531114,0.0055486848523346646,0.2477486111111111,With Revenue and Budget
Euclidean Distance,Generic,5,0.2736,0.005186967261550161,0.009988083587782012,0.4037138888888889,With Revenue and Budget
Manhattan Distance,Generic,5,0.4002,0.007633226762077646,0.014702139809493127,0.5360361111111112,With Revenue and Budget
Cosine Similarity,Generic,10,0.20620000000000002,0.0018563813152689408,0.0036700982049638464,0.28482916666666663,With Revenue and Budget
Euclidean Distance,Generic,10,0.18220000000000003,0.0016721900050414424,0.00330573142499846,0.27344444444444443,With Revenue and Budget
Manhattan Distance,Generic,10,0.33840000000000003,0.0032309030661515493,0.006381275004900309,0.47608055555555556,With Revenue and Budget
Cosine Similarity,Generic,20,0.236,0.0013479485510454867,0.00267927570500917,0.33910972222222224,With Revenue and Budget
Euclidean Distance,Generic,20,0.1092,0.0006130112489596011,0.001218697776038651,0.1797277777777778,With Revenue and Budget
Manhattan Distance,Generic,20,0.2378,0.0013325378350477581,0.0026491557582173342,0.3581722222222222,With Revenue and Budget
Cosine Similarity,Generic,30,0.2434,0.0010680388631943516,0.0021264665953165105,0.3319652777777778,With Revenue and Budget
Euclidean Distance,Generic,30,0.08460000000000001,0.00037172367593677543,0.0007401174971180141,0.1499527777777778,With Revenue and Budget
Manhattan Distance,Generic,30,0.1592,0.0006958298980133124,0.0013854296939211116,0.24872083333333334,With Revenue and Budget
Cosine Similarity,High Score,1,0.183,0.015590104563204445,0.020975287275010742,0.2580708333333333,With Revenue and Budget
Euclidean Distance,High Score,1,0.1784,0.016672060399677578,0.021771791375111836,0.25580277777777777,With Revenue and Budget
Manhattan Distance,High Score,1,0.2242,0.023266842413466274,0.03047888766084153,0.31703472222222223,With Revenue and Budget
Cosine Similarity,High Score,5,0.2214,0.010261520680850235,0.018647402932862052,0.3182069444444445,With Revenue and Budget
Euclidean Distance,High Score,5,0.261,0.012762055802903554,0.02325884744525671,0.4083791666666667,With Revenue and Budget
Manhattan Distance,High Score,5,0.31860000000000005,0.016831134013794477,0.030326990844837753,0.4824847222222222,With Revenue and Budget
Cosine Similarity,High Score,10,0.2752,0.0072520674724567144,0.014047020581775047,0.3864666666666666,With Revenue and Budget
Euclidean Distance,High Score,10,0.3094,0.008680293832785683,0.01675119497452113,0.4480444444444444,With Revenue and Budget
Manhattan Distance,High Score,10,0.358,0.010191587707854275,0.019647146422291782,0.527525,With Revenue and Budget
Cosine Similarity,High Score,20,0.3492,0.006275285415222686,0.012318394337384507,0.4941666666666667,With Revenue and Budget
Euclidean Distance,High Score,20,0.3274,0.0059000203662971555,0.011578903126863292,0.4528569444444444,With Revenue and Budget
Manhattan Distance,High Score,20,0.35919999999999996,0.006522658908705407,0.012796910714635241,0.5037833333333332,With Revenue and Budget
Cosine Similarity,High Score,30,0.3836,0.005675115565009382,0.011180777919397436,0.5431333333333334,With Revenue and Budget
Euclidean Distance,High Score,30,0.3406,0.0050411997037706335,0.009931912722083783,0.4750125,With Revenue and Budget
Manhattan Distance,High Score,30,0.3462,0.005127197676777659,0.01010113983909027,0.5102055555555555,With Revenue and Budget
Cosine Similarity,Non-English,1,0.1388,0.00475958745505001,0.007987768425387187,0.19572083333333334,With Revenue and Budget
Euclidean Distance,Non-English,1,0.14120000000000002,0.0071228152608564564,0.009738935789770585,0.21150833333333333,With Revenue and Budget
Manhattan Distance,Non-English,1,0.173,0.009508128554764872,0.01340252829076878,0.2433722222222222,With Revenue and Budget
Cosine Similarity,Non-English,5,0.14020000000000002,0.0022415575243761618,0.004344829803665233,0.208975,With Revenue and Budget
Euclidean Distance,Non-English,5,0.1606,0.0028844618884704084,0.005497710923941936,0.2736486111111111,With Revenue and Budget
Manhattan Distance,Non-English,5,0.22740000000000002,0.0037708813449018417,0.0072654986131795935,0.368425,With Revenue and Budget
Cosine Similarity,Non-English,10,0.1446,0.0014209440750858945,0.002807816662809393,0.22921805555555558,With Revenue and Budget
Euclidean Distance,Non-English,10,0.1388,0.0013856068235359848,0.0027373215404771626,0.23384722222222223,With Revenue and Budget
Manhattan Distance,Non-English,10,0.2134,0.002095918340515741,0.004143226357796781,0.3324944444444445,With Revenue and Budget
Cosine Similarity,Non-English,20,0.168,0.0010784064839020346,0.0021422964219266444,0.24526666666666666,With Revenue and Budget
Euclidean Distance,Non-English,20,0.1406,0.0008946674129271711,0.0017773539176007861,0.24708194444444445,With Revenue and Budget
Manhattan Distance,Non-English,20,0.1984,0.0012779118066428587,0.002538540035782936,0.3177361111111111,With Revenue and Budget
Cosine Similarity,Non-English,30,0.1994,0.0010226513973771772,0.002034498960033786,0.30141666666666667,With Revenue and Budget
Euclidean Distance,Non-English,30,0.1726,0.0008855925540016979,0.0017618301121981152,0.2976958333333333,With Revenue and Budget
Manhattan Distance,Non-English,30,0.2194,0.0011298724672968979,0.002247755233188768,0.3481722222222222,With Revenue and Budget
